CityId,Name,Country,Region
41b77a85-3028-478c-9535-fedeb9680c74,Bensalem,US,US-PA
7873482f-43b5-4566-99a4-ecc15df1e1d1,Leoti,US,US-KS
04cdfce0-12b2-450d-bfca-80c282bd850c,Anchor Point,US,US-AK
9b596681-c6c4-45cd-bfee-20c78b027bf4,Harvest,US,US-AL
c5892aa5-31b8-4efe-8070-03014fd12fa3,King Salmon,US,US-AK
1dd49600-cdde-44c3-bbcb-cf683ca9f4b4,Alex,US,US-OK
06fa0f4f-4693-401e-abf0-ccffe725e739,Cordes,US,US-AZ
30d022f3-5344-46b9-8da9-8fb30197788b,Barstow,US,US-CA
c6416222-1333-46ff-8d26-b75018906477,Biggs,US,US-CA
69dcd1f4-90fc-43d0-ac35-da8e4f255123,Pine Valley,US,US-CA
87e7a36a-d7c7-4249-8eab-22e34da61b72,Bushnell,US,US-FL
3c8980cb-a2ec-4e3d-848f-30e054a6fd94,Okeechobee,US,US-FL
a25ed5fb-6e5b-4e58-965c-9b16bdb33e26,Lithonia,US,US-GA
be2e4d2d-f0f8-41e3-9d7e-5f790afc8578,Hiram,US,US-GA
855ba7e3-4160-4cf8-8d54-02d2478189a9,Kailua-Kona,US,US-HI
af05ac0e-5743-4abf-a1c6-d4a3211dc0dd,Clark Fork,US,US-ID
eb7bae61-f73d-4e38-9c72-2bdf21594c62,McDonald,US,US-KS
235f2e2c-2191-409a-9dcf-e4fca99b6ba0,Polo,US,US-IL
4aee62b8-f374-4d0e-98c7-fccc29fb6efa,Hobart,US,US-IN
df49a95e-4069-48b4-9d97-c2d02e756865,Kings,US,US-IL
e6d54f56-5673-43a1-b8c8-28c9fb9cf168,Gardner,US,US-KS
4b88d2a9-78f6-41b5-986f-005d843d48d8,Stanford,US,US-KY
b139fe59-9b89-456f-a782-990c2ca0f30c,Gonzales,US,US-LA
775f4efa-1982-45e9-96fc-617e118528f5,Chatham,US,US-IL
b46b02b3-235b-49a0-b490-43d7b2d053f7,Crowley,US,US-LA
fa4cf922-d0bc-40fe-8939-dd69e1ecc21d,Federalsburg,US,US-MD
ed8d19bc-c4d0-4bab-b38a-519fce97932f,Ludington,US,US-MI
7b955a8a-3a94-4c1d-9c0f-9823482d874c,Battle Lake,US,US-MN
10829e6b-528e-4bd6-b511-694a4dae8fc2,Alba,US,US-MO
2a90bf7b-5fa8-4400-8cd2-78e0792eb2a3,Livingston,US,US-MT
ff4da7f9-9657-4bf1-b1ac-38ab961f80ad,Bridgeton,US,US-NJ
6fad4b6c-266b-451e-969f-886763ed658e,Louisburg,US,US-NC
df84c235-d1ab-4984-a661-007f84b1e56d,New Brunswick,US,US-NJ
69ff5ac1-dd8a-4c6b-a101-00c20c0cccee,Beekmantown,US,US-NY
1a66a4ad-09a2-4cdc-8fd5-e8448f3f55a0,Rodanthe,US,US-NC
7310e48f-9061-4e2f-a351-8a74b517c58f,West Bloomfield,US,US-NY
73321561-a948-41c0-a5f8-777424e0ba1c,Dayton,US,US-OH
99bc1082-fcab-4f9a-a132-e80d617605de,Sandsprings,US,US-OK
78fc6c99-cb66-4b8a-8383-7bbb2bf45321,Salem,US,US-OR
388bd4f5-9833-4d61-8ab1-d2ec2ef80298,Coatesville,US,US-PA
affca71a-a708-4a59-82f3-517e034487d3,Mercer,US,US-PA
7f152c7c-e18b-4eb6-a197-4efca4ea3903,Blue River,US,US-OR
96553e6d-c17b-44f1-b207-45a94561bca4,Sumter,US,US-SC
cf099f74-a2fa-4680-8c44-b54168221006,Gary,US,US-SD
a936d51b-0e36-4ed8-b08a-b19780bd7a92,Fort Worth,US,US-TX
085256a7-3648-4420-9fdf-a45ef5e1e708,Everman,US,US-TX
5d7bfc39-eef2-4a38-9b13-c6843998147e,Goodlett,US,US-TX
4302b094-48b9-4fd4-ac08-23db9c784009,Alton,US,US-VA
f11b68a6-470b-4910-b13a-2242b7909a93,Hillsville,US,US-VA
90ddfa4d-a101-4d75-b157-d1d1f990883a,Colfax,US,US-WA
7fe11177-fc5c-485c-9ecf-a978a373824c,Longbranch,US,US-WA
d6e7cd77-aa99-4c57-b65a-3ebe583dd615,Waupaca,US,US-WI
5d6ef846-d6e6-49f6-922d-07ffe0ce8c9c,Asotin,US,US-WA
eb66b2c7-0e47-466f-b7e0-ee1d921824bb,Beverly,US,US-WV
a551f591-a052-4be5-aa25-0ff38ca9dd42,Casper,US,US-WY
